Term,pmi,freq_pos,freq_neg,VAD original,VAD extended,valence,arousal,dominance,frequency
abracadabra,4.6,477,6,1,1,0.673,0.632,0.434,483
lodge,4.057,3134,78,1,1,0.656,0.356,0.474,3212
inadmissible,4.02,152,3,1,1,0.188,0.636,0.389,155
swinger,3.804,153,4,1,1,0.459,0.778,0.482,157
incidental,3.71,532,18,1,1,0.281,0.61,0.404,550
porno,3.672,2078,76,1,1,0.302,0.923,0.519,2154
sergeant,3.519,879,37,1,1,0.408,0.6,0.833,916
flatbed,3.372,39,1,1,1,0.49,0.25,0.38,40
furrow,3.354,333,16,1,1,0.408,0.42,0.345,349
hitchhiker,3.306,261,13,1,1,0.594,0.626,0.603,274
austere,3.235,156,8,1,1,0.5,0.39,0.422,164
allowance,3.226,2988,172,1,1,0.673,0.382,0.591,3160
plume,3.124,77,4,1,1,0.469,0.323,0.375,81
nigger,3.055,1091,74,1,1,0.24,0.347,0.398,1165
honeysuckle,3.05,28,1,1,1,0.597,0.451,0.517,29
unauthorized,3.038,314,21,1,1,0.26,0.448,0.259,335
steeple,3.015,41,2,1,1,0.625,0.519,0.5,43
sparrow,3.004,968,69,1,1,0.583,0.46,0.327,1037
woodpecker,2.999,123,8,1,1,0.52,0.482,0.445,131
contentious,2.969,520,38,1,1,0.422,0.573,0.637,558
coed,2.912,100,7,1,1,0.469,0.531,0.481,107
whale,2.862,4694,390,1,1,0.582,0.398,0.509,5084
thunderbolt,2.833,69,5,1,1,0.418,0.719,0.642,74
castaway,2.819,632,54,1,1,0.208,0.646,0.422,686
disused,2.743,31,2,1,1,0.25,0.302,0.186,33
gaiety,2.743,31,2,1,1,0.854,0.759,0.72,33
pantyhose,2.662,117,11,1,1,0.57,0.539,0.25,128
ferment,2.645,28,2,1,1,0.375,0.531,0.418,30
revolver,2.57,295,32,1,1,0.194,0.796,0.75,327
painstaking,2.556,114,12,1,1,0.396,0.335,0.386,126
recline,2.516,101,11,1,1,0.46,0.404,0.418,112
neutron,2.513,160,18,1,1,0.469,0.44,0.679,178
hourglass,2.512,126,14,1,1,0.542,0.284,0.492,140
tackling,2.505,1301,154,1,1,0.48,0.694,0.613,1455
storehouse,2.487,32,3,1,1,0.57,0.25,0.491,35
spleen,2.478,89,10,1,1,0.448,0.255,0.396,99
petunia,2.456,111,13,1,1,0.583,0.26,0.356,124
plaintive,2.43,38,4,1,1,0.292,0.529,0.306,42
cleanliness,2.426,589,75,1,1,0.816,0.363,0.609,664
supermodel,2.4,120,15,1,1,0.88,0.663,0.698,135
rapture,2.385,677,90,1,1,0.439,0.883,0.567,767
hooky,2.384,66,8,1,1,0.468,0.5,0.452,74
growl,2.383,810,108,1,1,0.194,0.764,0.482,918
richness,2.344,228,31,1,1,0.896,0.833,0.922,259
moonlight,2.337,3197,449,1,1,0.865,0.264,0.409,3646
obesity,2.322,720,102,1,1,0.215,0.37,0.328,822
crouch,2.314,117,16,1,1,0.281,0.606,0.312,133
cowboy,2.29,1625,239,1,1,0.594,0.625,0.695,1864
electron,2.286,26,3,1,1,0.52,0.455,0.56,29
corduroy,2.273,39,5,1,1,0.57,0.324,0.357,44
breakable,2.271,112,16,1,1,0.194,0.667,0.408,128
outpost,2.271,112,16,1,1,0.635,0.571,0.675,128
aristocrat,2.263,32,4,1,1,0.583,0.413,0.811,36
supernova,2.259,137,20,1,1,0.729,0.673,0.827,157
midland,2.257,117,17,1,1,0.521,0.402,0.456,134
avenue,2.248,1331,204,1,1,0.677,0.36,0.377,1535
horny,2.241,14621,2264,1,1,0.49,0.908,0.56,16885
sweetener,2.237,732,113,1,1,0.67,0.333,0.33,845
zeppelin,2.227,260,40,1,1,0.542,0.55,0.472,300
climber,2.222,37,5,1,1,0.573,0.716,0.735,42
squirt,2.208,205,32,1,1,0.406,0.46,0.255,237
tambourine,2.201,30,4,1,1,0.622,0.548,0.348,34
amateur,2.201,619,99,1,1,0.469,0.5,0.409,718
shire,2.199,98,15,1,1,0.479,0.257,0.609,113
pretender,2.196,215,34,1,1,0.5,0.683,0.574,249
goblin,2.195,1096,177,1,1,0.333,0.542,0.377,1273
idleness,2.182,72,11,1,1,0.308,0.33,0.228,83
twain,2.179,272,44,1,1,0.541,0.255,0.37,316
boredom,2.17,4387,729,1,1,0.167,0.139,0.255,5116
turnaround,2.168,173,28,1,1,0.56,0.654,0.407,201
clod,2.168,29,4,1,1,0.375,0.404,0.365,33
vacancy,2.145,251,42,1,1,0.643,0.311,0.418,293
carnation,2.144,81,13,1,1,0.653,0.357,0.431,94
ploughed,2.144,40,6,1,1,0.438,0.42,0.431,46
tun,2.136,336,57,1,1,0.386,0.413,0.364,393
wistful,2.132,161,27,1,1,0.323,0.451,0.312,188
indemnity,2.13,51,8,1,1,0.47,0.607,0.692,59
wino,2.126,22,3,1,1,0.406,0.535,0.349,25
pepper,2.123,4411,768,1,1,0.4,0.539,0.328,5179
sedentary,2.117,56,9,1,1,0.292,0.185,0.273,65
racetrack,2.104,44,7,1,1,0.708,0.808,0.624,51
unbroken,2.095,211,37,1,1,0.55,0.224,0.602,248
housewife,2.088,719,129,1,1,0.656,0.361,0.449,848
halt,2.084,611,110,1,1,0.167,0.36,0.432,721
nude,2.083,2291,415,1,1,0.49,0.915,0.2,2706
guidebook,2.075,81,14,1,1,0.677,0.26,0.427,95
tumbleweed,2.075,81,14,1,1,0.312,0.471,0.427,95
interlude,2.055,267,49,1,1,0.47,0.417,0.377,316
stave,2.055,315,58,1,1,0.417,0.333,0.424,373
bloodstream,2.05,31,5,1,1,0.552,0.53,0.528,36
untitled,2.032,177,33,1,1,0.213,0.24,0.24,210
island,2.026,27541,5291,1,1,0.745,0.347,0.432,32832
reverie,2.025,77,14,1,1,0.667,0.413,0.471,91
lovesick,2.016,133,25,1,1,0.796,0.842,0.5,158
barnyard,2.014,71,13,1,1,0.51,0.353,0.336,84
dweller,2.013,112,21,1,1,0.615,0.304,0.5,133
downpour,2.006,300,58,1,1,0.328,0.602,0.481,358
disconnection,2.004,335,65,1,1,0.167,0.283,0.277,400
arouse,2.004,55,10,1,1,0.74,0.491,0.58,65
painter,1.994,256,50,1,1,0.677,0.366,0.487,306
undefined,1.993,135,26,1,1,0.26,0.418,0.35,161
gigolo,1.986,44,8,1,1,0.4,0.706,0.528,52
aeroplane,1.986,94,18,1,1,0.714,0.642,0.644,112
cohesion,1.986,109,21,1,1,0.604,0.536,0.555,130
relevancy,1.986,44,8,1,1,0.724,0.481,0.673,52
bash,1.984,1537,307,1,1,0.385,0.546,0.463,1844
widower,1.97,373,75,1,1,0.184,0.406,0.325,448
enchanting,1.966,146,29,1,1,0.917,0.681,0.708,175
bored,1.961,53039,10873,1,1,0.153,0.167,0.196,63912
sugar,1.96,6921,1419,1,1,0.896,0.382,0.402,8340
honeymoon,1.96,1139,233,1,1,0.979,0.678,0.526,1372
gossip,1.956,1824,375,1,1,0.173,0.765,0.245,2199
quartet,1.952,57,11,1,1,0.479,0.377,0.472,68
shears,1.94,42,8,1,1,0.429,0.527,0.254,50
mournful,1.94,85,17,1,1,0.18,0.441,0.188,102
hardcore,1.934,2045,430,1,1,0.25,0.721,0.585,2475
gilded,1.927,65,13,1,1,0.719,0.471,0.455,78
runner,1.924,996,211,1,1,0.459,0.747,0.632,1207
fisherman,1.922,135,28,1,1,0.656,0.461,0.546,163
greedy,1.921,2370,505,1,1,0.125,0.66,0.476,2875
throb,1.917,41,8,1,1,0.5,0.673,0.556,49
abbey,1.917,419,89,1,1,0.58,0.367,0.444,508
thankless,1.908,184,39,1,1,0.146,0.5,0.497,223
foreword,1.906,59,12,1,1,0.59,0.314,0.551,71
nightingale,1.906,119,25,1,1,0.74,0.34,0.496,144
commissary,1.902,22,4,1,1,0.385,0.5,0.788,26
blackbird,1.902,91,19,1,1,0.52,0.34,0.405,110
moor,1.896,95,20,1,1,0.311,0.464,0.378,115
ballroom,1.892,254,55,1,1,0.847,0.635,0.448,309
ebony,1.888,330,72,1,1,0.49,0.317,0.4,402
troll,1.887,3633,801,1,1,0.378,0.627,0.327,4434
dazed,1.878,210,46,1,1,0.3,0.697,0.277,256
vineyard,1.878,183,40,1,1,0.806,0.382,0.595,223
saxophone,1.876,102,22,1,1,0.688,0.444,0.482,124
contaminate,1.868,39,8,1,1,0.14,0.611,0.426,47
caprice,1.858,21,4,1,1,0.333,0.64,0.43,25
gentry,1.858,21,4,1,1,0.56,0.48,0.625,25
