Term,pmi,freq_pos,freq_neg,VAD original,VAD extended,valence,arousal,dominance,frequency
fortress,6.635,5249,122,1,1,0.816,0.5,0.933,5371
cholera,5.507,151,10,1,1,0.02,0.867,0.507,161
shire,5.253,149,13,1,1,0.479,0.257,0.609,162
vega,5.193,110,10,1,1,0.51,0.333,0.434,120
porous,5.184,59,5,1,1,0.385,0.37,0.264,64
richness,5.115,251,26,1,1,0.896,0.833,0.922,277
revue,5.009,83,9,1,1,0.594,0.35,0.42,92
incline,4.827,83,11,1,1,0.49,0.423,0.345,94
pensive,4.559,165,30,1,1,0.54,0.22,0.529,195
monotony,4.513,178,34,1,1,0.398,0.135,0.353,212
refreshment,4.509,55,10,1,1,0.667,0.41,0.352,65
oft,4.376,155,34,1,1,0.5,0.308,0.474,189
austere,4.298,32,7,1,1,0.5,0.39,0.422,39
peopled,4.296,106,25,1,1,0.594,0.45,0.679,131
contemplation,4.291,306,74,1,1,0.552,0.324,0.627,380
stillness,4.176,583,159,1,1,0.729,0.125,0.339,742
hundred,4.163,3844,1066,1,1,0.604,0.37,0.406,4910
exaltation,4.154,24,6,1,1,0.594,0.892,0.673,30
realism,4.112,201,58,1,1,0.74,0.545,0.67,259
lofty,4.029,103,32,1,1,0.755,0.306,0.569,135
uniformity,4.002,45,14,1,1,0.745,0.353,0.538,59
purification,3.98,41,13,1,1,0.847,0.452,0.774,54
mirth,3.946,28,9,1,1,0.888,0.64,0.608,37
confederacy,3.937,22,7,1,1,0.59,0.541,0.736,29
monastery,3.851,57,21,1,1,0.694,0.183,0.726,78
dissatisfaction,3.836,186,71,1,1,0.115,0.663,0.202,257
superman,3.813,913,359,1,1,0.945,0.794,0.929,1272
lifeblood,3.797,19,7,1,1,0.673,0.69,0.708,26
slowness,3.741,25,10,1,1,0.302,0.212,0.191,35
heady,3.728,34,14,1,1,0.448,0.806,0.565,48
nightingale,3.714,45,19,1,1,0.74,0.34,0.496,64
monastic,3.714,45,19,1,1,0.438,0.314,0.676,64
contemplative,3.704,81,35,1,1,0.729,0.308,0.739,116
servitude,3.676,30,13,1,1,0.25,0.49,0.25,43
colonel,3.62,110,52,1,1,0.459,0.592,0.89,162
sweetness,3.62,311,148,1,1,0.906,0.474,0.528,459
idleness,3.615,24,11,1,1,0.308,0.33,0.228,35
picturesque,3.605,32,15,1,1,0.802,0.491,0.483,47
bliss,3.596,1935,946,1,1,0.816,0.5,0.782,2881
tumult,3.574,17,8,1,1,0.271,0.64,0.636,25
savagery,3.574,41,20,1,1,0.219,0.907,0.711,61
blend,3.494,396,214,1,1,0.469,0.452,0.463,610
mockingbird,3.473,46,25,1,1,0.513,0.337,0.423,71
merriment,3.469,26,14,1,1,0.948,0.721,0.632,40
cultivation,3.469,17,9,1,1,0.625,0.324,0.462,26
tranquility,3.438,423,242,1,1,0.84,0.135,0.442,665
bustle,3.427,106,61,1,1,0.347,0.814,0.445,167
tranquil,3.389,117,70,1,1,0.917,0.094,0.355,187
altitude,3.351,39,24,1,1,0.708,0.482,0.736,63
scenic,3.313,56,36,1,1,0.684,0.548,0.756,92
glacier,3.312,19,12,1,1,0.573,0.396,0.554,31
sphinx,3.312,19,12,1,1,0.604,0.324,0.49,31
blissful,3.295,368,243,1,1,0.885,0.639,0.676,611
stout,3.287,23,15,1,1,0.656,0.657,0.817,38
bask,3.277,158,106,1,1,0.76,0.33,0.381,264
simplicity,3.268,180,122,1,1,0.667,0.25,0.337,302
bustling,3.267,49,33,1,1,0.49,0.85,0.528,82
chronicle,3.258,34,23,1,1,0.427,0.571,0.586,57
simplify,3.257,66,45,1,1,0.565,0.347,0.602,111
mournful,3.249,25,17,1,1,0.18,0.441,0.188,42
labyrinth,3.243,88,61,1,1,0.479,0.811,0.491,149
introspection,3.234,265,186,1,1,0.603,0.337,0.575,451
transcendence,3.229,16,11,1,1,0.656,0.608,0.754,27
serenity,3.221,585,416,1,1,0.9,0.122,0.557,1001
overshadow,3.208,42,30,1,1,0.333,0.549,0.654,72
adaptation,3.203,97,70,1,1,0.663,0.365,0.609,167
finality,3.195,25,18,1,1,0.615,0.368,0.627,43
penance,3.183,45,33,1,1,0.219,0.667,0.463,78
repose,3.169,43,32,1,1,0.469,0.1,0.33,75
retreat,3.16,604,457,1,1,0.5,0.519,0.312,1061
gentleness,3.14,56,43,1,1,0.927,0.278,0.447,99
seclusion,3.137,283,219,1,1,0.23,0.558,0.505,502
ascetic,3.133,17,13,1,1,0.438,0.375,0.472,30
solitaire,3.131,85,66,1,1,0.365,0.227,0.279,151
metropolis,3.128,31,24,1,1,0.656,0.625,0.779,55
intrusion,3.122,55,43,1,1,0.293,0.641,0.67,98
trample,3.098,40,32,1,1,0.235,0.764,0.562,72
