Term,pmi,freq_pos,freq_neg,VAD original,VAD extended,valence,arousal,dominance,frequency
fortress,6.388,5249,126,1,1,0.816,0.5,0.933,5375
cholera,5.61,151,7,1,1,0.02,0.867,0.507,158
porous,5.374,59,3,1,1,0.385,0.37,0.264,62
uniformity,5.108,45,3,1,1,0.745,0.353,0.538,48
peopled,4.631,106,14,1,1,0.594,0.45,0.679,120
refreshment,4.494,55,8,1,1,0.667,0.41,0.352,63
incline,4.206,83,17,1,1,0.49,0.423,0.345,100
monastic,4.192,45,9,1,1,0.438,0.314,0.676,54
superman,3.991,913,242,1,1,0.945,0.794,0.929,1155
hundred,3.915,3844,1102,1,1,0.604,0.37,0.406,4946
contemplation,3.871,306,91,1,1,0.552,0.324,0.627,397
confederacy,3.855,22,6,1,1,0.59,0.541,0.736,28
purification,3.838,41,12,1,1,0.847,0.452,0.774,53
uninterrupted,3.818,132,41,1,1,0.5,0.434,0.527,173
recharge,3.755,888,298,1,1,0.584,0.702,0.664,1186
slowness,3.727,25,8,1,1,0.302,0.212,0.191,33
revue,3.663,83,30,1,1,0.594,0.35,0.42,113
vega,3.614,110,42,1,1,0.51,0.333,0.434,152
simplify,3.575,66,26,1,1,0.565,0.347,0.602,92
industrious,3.56,21,8,1,1,0.72,0.537,0.791,29
intrusion,3.556,55,22,1,1,0.293,0.641,0.67,77
realism,3.543,201,83,1,1,0.74,0.545,0.67,284
tranquility,3.506,423,182,1,1,0.84,0.135,0.442,605
bliss,3.47,1935,865,1,1,0.816,0.5,0.782,2800
trample,3.435,40,18,1,1,0.235,0.764,0.562,58
exaltation,3.4,24,11,1,1,0.594,0.892,0.673,35
lifeblood,3.359,19,9,1,1,0.673,0.69,0.708,28
colonel,3.332,110,56,1,1,0.459,0.592,0.89,166
serenity,3.319,585,304,1,1,0.9,0.122,0.557,889
undisturbed,3.316,45,23,1,1,0.725,0.287,0.434,68
savagery,3.312,41,21,1,1,0.219,0.907,0.711,62
regroup,3.27,74,40,1,1,0.633,0.602,0.797,114
rejuvenate,3.225,41,23,1,1,0.776,0.588,0.767,64
meditation,3.219,865,497,1,1,0.786,0.12,0.478,1362
dissatisfaction,3.215,186,107,1,1,0.115,0.663,0.202,293
monastery,3.2,57,33,1,1,0.694,0.183,0.726,90
furnace,3.194,38,22,1,1,0.429,0.529,0.5,60
monotony,3.19,178,105,1,1,0.398,0.135,0.353,283
blend,3.177,396,237,1,1,0.469,0.452,0.463,633
sphinx,3.177,19,11,1,1,0.604,0.324,0.49,30
blissful,3.147,368,227,1,1,0.885,0.639,0.676,595
seclusion,3.139,283,176,1,1,0.23,0.558,0.505,459
oft,3.131,155,97,1,1,0.5,0.308,0.474,252
apostle,3.127,45,28,1,1,0.646,0.347,0.732,73
retreat,3.118,604,384,1,1,0.5,0.519,0.312,988
pensive,3.114,165,105,1,1,0.54,0.22,0.529,270
immemorial,3.101,16,10,1,1,0.327,0.469,0.454,26
restorative,3.097,39,25,1,1,0.633,0.51,0.703,64
sweetness,3.096,311,202,1,1,0.906,0.474,0.528,513
replenish,3.093,22,14,1,1,0.615,0.336,0.689,36
mirth,3.089,28,18,1,1,0.888,0.64,0.608,46
shire,3.081,149,98,1,1,0.479,0.257,0.609,247
interruption,3.071,38,25,1,1,0.184,0.632,0.425,63
penance,3.06,45,30,1,1,0.219,0.667,0.463,75
decompress,3.05,46,31,1,1,0.438,0.43,0.509,77
lofty,3.047,103,70,1,1,0.755,0.306,0.569,173
indivisible,3.045,18,12,1,1,0.646,0.398,0.58,30
bustle,3.035,106,73,1,1,0.347,0.814,0.445,179
refining,3.011,23,16,1,1,0.694,0.466,0.664,39
simplicity,2.966,180,133,1,1,0.667,0.25,0.337,313
skiing,2.966,53,39,1,1,0.823,0.824,0.62,92
latitude,2.953,15,11,1,1,0.562,0.306,0.49,26
altitude,2.953,39,29,1,1,0.708,0.482,0.736,68
introspection,2.951,265,199,1,1,0.603,0.337,0.575,464
durable,2.938,20,15,1,1,0.74,0.294,0.688,35
savor,2.931,89,68,1,1,0.827,0.552,0.526,157
meditating,2.93,98,75,1,1,0.718,0.185,0.399,173
repose,2.924,43,33,1,1,0.469,0.1,0.33,76
cultivation,2.917,17,13,1,1,0.625,0.324,0.462,30
sanctity,2.889,24,19,1,1,0.771,0.33,0.628,43
purify,2.877,20,16,1,1,0.823,0.304,0.746,36
contemplative,2.853,81,67,1,1,0.729,0.308,0.739,148
aluminum,2.848,17,14,1,1,0.449,0.28,0.434,31
gentleness,2.838,56,47,1,1,0.927,0.278,0.447,103
relaxation,2.837,158,133,1,1,0.873,0.161,0.381,291
stillness,2.809,583,505,1,1,0.729,0.125,0.339,1088
multitude,2.802,140,122,1,1,0.562,0.765,0.847,262
scenic,2.797,56,49,1,1,0.684,0.548,0.756,105
tranquil,2.792,117,103,1,1,0.917,0.094,0.355,220
chagrin,2.791,16,14,1,1,0.104,0.704,0.472,30
intrude,2.775,57,51,1,1,0.058,0.735,0.48,108
richness,2.761,251,228,1,1,0.896,0.833,0.922,479
meditate,2.761,284,258,1,1,0.812,0.146,0.564,542
mediation,2.761,32,29,1,1,0.661,0.35,0.657,61
perilous,2.75,36,33,1,1,0.143,0.862,0.575,69
recollect,2.749,24,22,1,1,0.688,0.491,0.602,46
frightful,2.748,37,34,1,1,0.125,0.755,0.455,71
fortitude,2.748,88,81,1,1,0.823,0.608,0.897,169
merriment,2.743,26,24,1,1,0.948,0.721,0.632,50
silky,2.736,43,40,1,1,0.802,0.397,0.271,83
laureate,2.735,14,13,1,1,0.724,0.402,0.702,27
heady,2.725,34,32,1,1,0.448,0.806,0.565,66
regenerate,2.72,18,17,1,1,0.782,0.607,0.767,35
finality,2.705,25,24,1,1,0.615,0.368,0.627,49
meditative,2.686,48,47,1,1,0.614,0.12,0.454,95
clarity,2.676,399,395,1,1,0.796,0.31,0.631,794
regeneration,2.666,15,15,1,1,0.76,0.64,0.845,30
deluge,2.666,16,16,1,1,0.245,0.714,0.612,32
ascetic,2.666,17,17,1,1,0.438,0.375,0.472,34
commandment,2.666,13,13,1,1,0.656,0.49,0.876,26
innermost,2.666,42,42,1,1,0.583,0.5,0.51,84
magnificence,2.666,14,14,1,1,0.802,0.81,0.92,28
servitude,2.634,30,31,1,1,0.25,0.49,0.25,61
labyrinth,2.633,88,91,1,1,0.479,0.811,0.491,179
mull,2.627,24,25,1,1,0.663,0.34,0.594,49
equilibrium,2.619,20,21,1,1,0.676,0.235,0.62,41
restful,2.617,39,41,1,1,0.781,0.116,0.413,80
privacy,2.613,608,641,1,1,0.52,0.42,0.598,1249
chronicle,2.61,34,36,1,1,0.427,0.571,0.586,70
pleasures,2.607,197,209,1,1,0.896,0.654,0.705,406
hike,2.596,207,222,1,1,0.615,0.442,0.538,429
renewal,2.592,38,41,1,1,0.77,0.71,0.672,79
invention,2.589,87,94,1,1,0.714,0.577,0.811,181
withdraw,2.586,155,168,1,1,0.26,0.425,0.336,323
mockingbird,2.584,46,50,1,1,0.513,0.337,0.423,96
fasting,2.58,133,145,1,1,0.388,0.37,0.394,278
serene,2.578,184,201,1,1,0.802,0.132,0.37,385
sacred,2.573,402,441,1,1,0.833,0.375,0.862,843
meridian,2.56,17,19,1,1,0.51,0.324,0.558,36
gregarious,2.56,35,39,1,1,0.551,0.471,0.529,74
remoteness,2.56,17,19,1,1,0.323,0.51,0.339,36
perverse,2.56,35,39,1,1,0.146,0.808,0.464,74
disappoint,2.555,392,438,1,1,0.15,0.633,0.288,830
lightness,2.555,33,37,1,1,0.794,0.36,0.526,70
clutter,2.542,37,42,1,1,0.135,0.598,0.4,79
solace,2.528,873,1002,1,1,0.776,0.294,0.453,1875
canyon,2.525,118,136,1,1,0.468,0.731,0.634,254
hiking,2.523,181,209,1,1,0.82,0.843,0.67,390
commune,2.517,55,64,1,1,0.5,0.488,0.655,119
hammering,2.512,23,27,1,1,0.347,0.779,0.557,50
illicit,2.507,28,33,1,1,0.188,0.794,0.39,61
component,2.504,73,86,1,1,0.531,0.382,0.525,159
transcendence,2.503,16,19,1,1,0.656,0.608,0.754,35
soak,2.5,177,209,1,1,0.48,0.37,0.24,386
slaughterhouse,2.494,15,18,1,1,0.146,0.794,0.472,33
refine,2.494,15,18,1,1,0.653,0.46,0.64,33
jour,2.491,20,24,1,1,0.479,0.394,0.415,44
karmic,2.491,20,24,1,1,0.357,0.459,0.464,44
crystalline,2.483,14,17,1,1,0.765,0.235,0.534,31
muddle,2.483,14,17,1,1,0.184,0.71,0.336,31
openness,2.481,83,100,1,1,0.837,0.561,0.667,183
pas,2.48,185,223,1,1,0.49,0.344,0.262,408
hammock,2.473,32,39,1,1,0.673,0.255,0.287,71
bask,2.472,158,192,1,1,0.76,0.33,0.381,350
advisable,2.458,12,15,1,1,0.867,0.48,0.51,27
ski,2.443,99,124,1,1,0.684,0.67,0.471,223
metropolis,2.443,31,39,1,1,0.656,0.625,0.779,70
communion,2.443,95,119,1,1,0.765,0.357,0.607,214
benign,2.437,34,43,1,1,0.694,0.44,0.509,77
campsite,2.432,18,23,1,1,0.68,0.49,0.547,41
sanction,2.429,14,18,1,1,0.201,0.75,0.517,32
relish,2.429,100,127,1,1,0.854,0.61,0.632,227
revel,2.428,92,117,1,1,0.74,0.705,0.684,209
grounding,2.425,32,41,1,1,0.521,0.452,0.591,73
compose,2.407,60,78,1,1,0.639,0.432,0.694,138
indispensable,2.403,19,25,1,1,0.71,0.449,0.802,44
divinity,2.399,48,63,1,1,0.896,0.559,0.774,111
overlord,2.398,25,33,1,1,0.75,0.755,0.932,58
